selling_price,rank,currency,styleId,fdbId,category,run_date,paginatedUrl,source,articleType,defaultImage,description,brand,activatedAt,imageUrlList,data,sizes,url,gender,colour,mrp,attributes,styleName
64.95,1,EUR,5535702,,SHOES,2018-02-26,https://www.mirapodo.de/herren/schuhe/?page=1,mirapodo,Sneakers Low,mirapodo.scene7.com/is/image/mirapodo/ext/5535702-01.jpg,"Die adidas NEO Cf Lite Racer Sneakers zeigen sich im markentypischen Design mit seitlichen Streifenapplikationen. Die weiche Sohle sorgt dafür, dass jeder Schritt angenehm abgefedert wird.

- Verschluss: Schnürverschluss
- gepolsterte Einstiegskante
- mit Zugschlaufe

Obermaterial: Materialmix aus Synthetik und Textil
Futter: Textil
Decksohle: Textil
Laufsohle: Sonstiges Material (Gummi)",adidas Sport Inspired,,"mirapodo.scene7.com/is/image/mirapodo/ext/5535702-01.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/5535702-02.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/5535702-03.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/5535702-04.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/5535702-05.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/5535702-06.jpg?$rtf_mp_prod-main-thumb_xl$",,"Größe wählen,38 (5 UK),38 2/3 (5½ UK) - Ausverkauft  (Nachricht),39 1/3 (6 UK),40 (6½ UK),40 2/3 (7 UK),41 1/3 (7½ UK),42 (8 UK),42 2/3 (8½ UK),43 1/3 (9 UK),44 (9½ UK),44 2/3 (10 UK),45 1/3 (10½ UK),46 (11 UK),46 2/3 (11½ UK),47 1/3 (12 UK),48 (12½ UK) - Ausverkauft  (Nachricht)",https://www.mirapodo.de/adidas-sport-inspired-cf-lite-racer-sneakers-schwarz-5535702.html,MEN,"
                  schwarz                  ",,,"
      Cf Lite Racer Sneakers
    "
35.99,2,EUR,1978488,,SHOES,2018-02-26,https://www.mirapodo.de/herren/schuhe/?page=1,mirapodo,Clogs,mirapodo.scene7.com/is/image/mirapodo/ext/1978488-01.jpg,"Der Crocband von Crocs kann durch viele Besonderheiten punkten! Doch zum Lieblingsschuh wird er durch seinen hohen Tragekomfort: das geruchsneutrale Croslite-Material überzeugt durch Leichtigkeit und eine maximale Polsterung. 

- Verschluss: Schlupf
- wasserfeste Laufsohle
- antibakterielle, profilierte Sohle
- umklappbarer Riemen bietet zusätzlichen Halt

Obermaterial: Sonstiges Material (Synthetik)
Futter: Sonstiges Material (Synthetik)
Decksohle: Sonstiges Material (Synthetik)
Laufsohle: Sonstiges Material (Synthetik)",crocs,,"mirapodo.scene7.com/is/image/mirapodo/ext/1978488-01.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/1978488-02.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/1978488-03.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/1978488-04.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/1978488-05.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/1978488-06.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/1978488-07.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/1978488-08.jpg?$rtf_mp_prod-main-thumb_xl$",,"Größe wählen,36/37 (EU) - Ausverkauft  (Nachricht),37/38 (EU),38/39 (EU),39/40 (EU),41/42 (EU),42/43 (EU),43/44 (EU) - Ausverkauft  (Nachricht),45/46 (EU) - Ausverkauft  (Nachricht),46/47 (EU) - Ausverkauft  (Nachricht),48/49 (EU)",https://www.mirapodo.de/crocs-crocband-clogs-dunkelblau-1978488.html,MEN,"
                  dunkelblau                  ",,,"
      Crocband Clogs
    "
71.99,3,EUR,3607860,,SHOES,2018-02-26,https://www.mirapodo.de/herren/schuhe/?page=1,mirapodo,Wanderschuhe,mirapodo.scene7.com/is/image/mirapodo/ext/3607860-01.jpg,"Die JACK WOLFSKIN Freizeitschuhe Vojo Hike Texapore Men besitzen einen interessanten Materialmix aus Leder und Textil, der dazu noch wasserfest und atmungsaktiv beschaffen ist. Die Innenverarbeitung ist leicht gepolstert und besitzt eine herausnehmbare Decksohle.

- Verschluss: Schnürung
- großzügig verstärkte Schuhspitze für optimal geschützte Zehen
- praktische Zuglaschen helfen beim Einstieg
- Schuhzunge und Schaftrand angenehm gepolstert
- griffige Laufsohle

Obermaterial: Leder, Textil
Futter: Textil
Decksohle: Textil
Laufsohle: Sonstiges Material (Gummi)",Jack Wolfskin,,"mirapodo.scene7.com/is/image/mirapodo/ext/3607860-01.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/3607860-02.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/3607860-03.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/3607860-04.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/3607860-05.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/3607860-06.jpg?$rtf_mp_prod-main-thumb_xl$",,"Größe wählen,40,5 (7 UK),41 (7½ UK) - Ausverkauft  (Nachricht),42 (8 UK),42,5 (8½ UK) - Ausverkauft  (Nachricht),43 (9 UK),44 (9½ UK) - Ausverkauft  (Nachricht),44,5 (10 UK),45 (10½ UK) - Ausverkauft  (Nachricht),45,5 (11 UK),46 (11½ UK) - Ausverkauft  (Nachricht),47 (12 UK) - Ausverkauft  (Nachricht),47,5 (12½ UK) - Ausverkauft  (Nachricht),48 (13 UK) - Ausverkauft  (Nachricht),49 (14 UK) - Ausverkauft  (Nachricht),50 (15 UK) - Ausverkauft  (Nachricht)",https://www.mirapodo.de/jack-wolfskin-vojo-hike-texapore-sportschuhe-grau-kombi-3607860.html,MEN,"
                  grau-kombi                  ",,,"
      Vojo Hike Texapore Sportschuhe
    "
59.95,4,EUR,3908276,,SHOES,2018-02-26,https://www.mirapodo.de/herren/schuhe/?page=1,mirapodo,Klassische Pantoletten,mirapodo.scene7.com/is/image/mirapodo/ext/3908276-01.jpg,"Klassisch und bequem wie je zuvor - die Arizona Pantoletten von Birkenstock. Das anatomisch geformte Fußbett aus Naturkork gewährleistet nicht nur höchsten Tragekomfort, sondern auch Gesundheit für Ihre Füße. 

- Decksohle aus weichem Veloursleder
- zwei breite Riemen lassen sich individuell Ihrer Fußhöhe anpassen und halten die Pantoletten sicher am Fuß
- EVA-Sohle für sicheren Auftritt
- Fußweite: weit

Obermaterial: Sonstiges Material (Materialmix)
Futter: Leder
Decksohle: Leder
Laufsohle: Sonstiges Material (EVA-Sohle)",BIRKENSTOCK,,"mirapodo.scene7.com/is/image/mirapodo/ext/3908276-01.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/3908276-02.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/3908276-03.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/3908276-04.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/3908276-05.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/3908276-06.jpg?$rtf_mp_prod-main-thumb_xl$",,"Größe wählen,40 (EU),41 (EU),42 (EU),43 (EU),44 (EU),45 (EU),46 (EU),47 (EU),48 (EU),49 (EU) - Ausverkauft  (Nachricht),50 (EU)",https://www.mirapodo.de/birkenstock-arizona-bf-pantoletten-schwarz-3908276.html,MEN,"
                  schwarz                  ",,,"
      Arizona BF Pantoletten
    "
35.99,5,EUR,1978476,,SHOES,2018-02-26,https://www.mirapodo.de/herren/schuhe/?page=1,mirapodo,Clogs,mirapodo.scene7.com/is/image/mirapodo/ext/1978476-01.jpg,"Der Crocband von Crocs kann durch viele Besonderheiten punkten! Doch zum Lieblingsschuh wird er durch seinen hohen Tragekomfort: das geruchsneutrale Croslite-Material überzeugt durch Leichtigkeit und eine maximale Polsterung. 

- Verschluss: Schlupf
- wasserfeste Laufsohle
- antibakterielle, profilierte Sohle
- umklappbarer Riemen bietet zusätzlichen Halt

Obermaterial: Sonstiges Material (Synthetik)
Futter: Sonstiges Material (Synthetik)
Decksohle: Sonstiges Material (Synthetik)
Laufsohle: Sonstiges Material (Synthetik)",crocs,,"mirapodo.scene7.com/is/image/mirapodo/ext/1978476-01.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/1978476-02.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/1978476-03.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/1978476-04.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/1978476-05.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/1978476-06.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/1978476-07.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/1978476-08.jpg?$rtf_mp_prod-main-thumb_xl$",,"Größe wählen,36/37 (EU),37/38 (EU),38/39 (EU),39/40 (EU),41/42 (EU),42/43 (EU),43/44 (EU) - Ausverkauft  (Nachricht),45/46 (EU) - Ausverkauft  (Nachricht),46/47 (EU) - Ausverkauft  (Nachricht),48/49 (EU)",https://www.mirapodo.de/crocs-crocband-clogs-schwarz-weiss-1978476.html,MEN,"
                  schwarz/weiß                  ",,,"
      Crocband Clogs
    "
69.95,6,EUR,5544054,,SHOES,2018-02-26,https://www.mirapodo.de/herren/schuhe/?page=1,mirapodo,Sneakers Low,mirapodo.scene7.com/is/image/mirapodo/ext/5544054-01.jpg,"Komfortable adidas Performance Samba Sneakers mit herausnehmbaren Innensohlen. Die Zehen- und Fersenpartien sind optimal verstärkt und bieten viel Halt.

- gepolsterter Schaftrand
- Verschluss: Schnürung
- rutschhemmende Laufsohle

Obermaterial: Leder
Futter: Textil, sonstiges Material (Synthetik)
Decksohle: Textil
Laufsohle: sonstiges Material (Gummi)",adidas Performance,,"mirapodo.scene7.com/is/image/mirapodo/ext/5544054-01.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/5544054-02.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/5544054-03.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/5544054-04.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/5544054-05.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/5544054-06.jpg?$rtf_mp_prod-main-thumb_xl$",,"Größe wählen,37 1/3 (4½ UK),38 (5 UK),38 2/3 (5½ UK),39 1/3 (6 UK),40 (6½ UK),40 2/3 (7 UK),41 1/3 (7½ UK),42 (8 UK),42 2/3 (8½ UK),43 1/3 (9 UK),44 (9½ UK),44 2/3 (10 UK),45 1/3 (10½ UK),46 (11 UK),46 2/3 (11½ UK),47 1/3 (12 UK),48 (12½ UK),48 2/3 (13 UK)",https://www.mirapodo.de/adidas-performance-samba-sneakers-schwarz-kombi-5544054.html,MEN,"
                  schwarz-kombi                  ",,,"
      adidas Performance Samba Sneakers
    "
109.95,73,EUR,7405928,,SHOES,2018-02-26,https://www.mirapodo.de/herren/schuhe/?page=2,mirapodo,Sneakers Low,mirapodo.scene7.com/is/image/mirapodo/ext/7405928-01.jpg,"Die Clarks Tri Active Run Sneakers Low bestehen aus echtem Leder und sind angenehm leicht. Die flexible, vorne hochgezogene Profil-Laufsohle ist rutschhemmend.

- leicht gepolsterte Einstiegskante 
- zwei praktische Anziehlaschen
- verstärkter Zehen- und Fersenbereich
- herausnehmbare, vorgeformte und gepolsterte Decksohle
- Schuh-Weite: G

Obermaterial: Leder 
Futter: Textil
Decksohle: Textil, Leder (Materialmix aus Textil und Leder)
Laufsohle: Sonstiges Material (Gummi)",Clarks,,"mirapodo.scene7.com/is/image/mirapodo/ext/7405928-01.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/7405928-02.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/7405928-03.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/7405928-04.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/7405928-05.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/7405928-06.jpg?$rtf_mp_prod-main-thumb_xl$",,"Größe wählen,41 (EU),42 (EU),43 (EU),44 (EU),45 (EU),46 (EU),47 (EU)",https://www.mirapodo.de/clarks-tri-active-run-sneakers-low-dunkelblau-7405928.html,MEN,"
                  dunkelblau                  ",,,"
      Tri Active Run Sneakers Low
    "
119.95,74,EUR,7648060,,SHOES,2018-02-26,https://www.mirapodo.de/herren/schuhe/?page=2,mirapodo,Laufschuhe,mirapodo.scene7.com/is/image/mirapodo/ext/7648060-01.jpg,"Diese funktionalen SEVEN WONDERS LOW M Wanderschuhe von JACK WOLFSKIN sind aus einem atmungsaktiven Obermaterial-Mix gefertigt und, dank der gepolsterten Einstiegskante, ein guter Begleiter bei allen Outdoor-Aktivitäten. Die flexible Profil-Laufsohle sorgt für Trittsicherheit.

- Verschluss: Schnürverschluss 
- Perforationen auf der Vorderkappe für Atmungsaktivität
- verstärkter Zehen- und Fersenbereich
- herausnehmbare, gepolsterte Decksohle für gute Trittdämpfung
- Laufsohle vorne und hinten hochgezogen für gutes Abrollverhalten

Obermaterial: Sonstiges Material, Leder (Materialmix aus Synthetik und Leder)
Futter: Textil (Synthetik)
Decksohle: Textil (Synthetik)
Laufsohle: Sonstiges Material",Jack Wolfskin,,"mirapodo.scene7.com/is/image/mirapodo/ext/7648060-01.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/7648060-02.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/7648060-03.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/7648060-04.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/7648060-05.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/7648060-06.jpg?$rtf_mp_prod-main-thumb_xl$",,"Größe wählen,40,5 (EU),42 (EU),43 (EU),44,5 (EU),45,5 (EU),47 (EU)",https://www.mirapodo.de/jack-wolfskin-seven-wonders-low-m-laufschuhe-schwarz-7648060.html,MEN,"
                  schwarz                  ",,,"
      SEVEN WONDERS LOW M Laufschuhe
    "
99.95,75,EUR,7648063,,SHOES,2018-02-26,https://www.mirapodo.de/herren/schuhe/?page=2,mirapodo,Wanderschuhe,mirapodo.scene7.com/is/image/mirapodo/ext/7648063-01.jpg,"Diese funktionalen ROCKSAND CHILL LOW M Wanderschuhe von JACK WOLFSKIN sind aus einem atmungsaktiven Obermaterial-Mix gefertigt und, dank der gepolsterten Einstiegskante, ein guter Begleiter bei allen Outdoor-Aktivitäten. Die flexible Profil-Laufsohle sorgt für Trittsicherheit.

- Verschluss: Schnürverschluss 
- eine praktische Anziehlasche
- verstärkter Zehen- und Fersenbereich
- seitliche Verstärkungen aus echtem Leder
- herausnehmbare, gepolsterte COMFORT-FIT-Decksohle für gute Trittdämpfung
- Laufsohle mit MULTIFUNCTIONAL-GRIP-SYSTEM

Obermaterial: Sonstiges Material, Leder (Materialmix aus Synthetik und Leder)
Futter: Textil (Synthetik)
Decksohle: Textil (Synthetik)
Laufsohle: Sonstiges Material",Jack Wolfskin,,"mirapodo.scene7.com/is/image/mirapodo/ext/7648063-01.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/7648063-02.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/7648063-03.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/7648063-04.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/7648063-05.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/7648063-06.jpg?$rtf_mp_prod-main-thumb_xl$",,"Größe wählen,40,5 (EU),41 (EU),42 (EU),42,5 (EU),43 (EU),44 (EU),44,5 (EU),45 (EU),45,5 (EU),46 (EU),47 (EU)",https://www.mirapodo.de/jack-wolfskin-rocksand-chill-low-m-wanderschuhe-grau-kombi-7648063.html,MEN,"
                  grau-kombi                  ",,,"
      ROCKSAND CHILL LOW M Wanderschuhe
    "
89.95,76,EUR,7203129,,SHOES,2018-02-26,https://www.mirapodo.de/herren/schuhe/?page=2,mirapodo,Klassische Pantoletten,mirapodo.scene7.com/is/image/mirapodo/ext/7203129-01.jpg,"Die Pikolinos Tarifa Pantoletten bestehen aus echtem Rindsleder. Die vorgeformte Echtleder-Decksohle ist gepolstert und strukturiert und sorgt für einen hohen Komfort.

- Verschluss: Schlupf
- flexible Profil-Laufsohle mit rutschhemmender Wirkung
- Schuh-Weite: G

Obermaterial: Leder (Rindsleder)
Futter: Leder 
Decksohle: Leder
Laufsohle: Sonstiges Material (TR-Sohle)",Pikolinos,,"mirapodo.scene7.com/is/image/mirapodo/ext/7203129-01.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/7203129-02.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/7203129-03.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/7203129-04.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/7203129-05.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/7203129-06.jpg?$rtf_mp_prod-main-thumb_xl$",,"Größe wählen,41 (EU),42 (EU),43 (EU),44 (EU),45 (EU),46 (EU)",https://www.mirapodo.de/pikolinos-tarifa-pantoletten-cognac-7203129.html,MEN,"
                  cognac                  ",,,"
      Tarifa Pantoletten
    "
94.95,77,EUR,7648064,,SHOES,2018-02-26,https://www.mirapodo.de/herren/schuhe/?page=2,mirapodo,Laufschuhe,mirapodo.scene7.com/is/image/mirapodo/ext/7648064-01.jpg,"Diese federleichten SEVEN WONDERS PACKER LOW M Wanderschuhe von JACK WOLFSKIN sind aus einem atmungsaktiven Mesh-Obermaterial gefertigt und, dank der elastischen Einstiegskante, besonders anpassungsfähig. Die flexible Profil-Laufsohle sorgt für Trittsicherheit.

- Verschluss: Schnürverschluss 
- weich gepolsterte Zunge
- verstärkter Zehenbereich
- herausnehmbare, gepolsterte Decksohle für dauerhaft gute Trittdämpfung
- Laufsohle mit rutschhemmenden Eigenschaften

Obermaterial: Textil
Futter: Textil (Synthetik)
Decksohle: Textil (Synthetik)
Laufsohle: Sonstiges Material",Jack Wolfskin,,"mirapodo.scene7.com/is/image/mirapodo/ext/7648064-01.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/7648064-02.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/7648064-03.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/7648064-04.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/7648064-05.jpg?$rtf_mp_prod-main-thumb_xl$,mirapodo.scene7.com/is/image/mirapodo/ext/7648064-06.jpg?$rtf_mp_prod-main-thumb_xl$",,"Größe wählen,40,5 (EU),41 (EU),42 (EU),42,5 (EU),43 (EU),44 (EU),44,5 (EU),45 (EU),45,5 (EU),46 (EU),47 (EU)",https://www.mirapodo.de/jack-wolfskin-seven-wonders-packer-low-m-laufschuhe-blau-7648064.html,MEN,"
                  blau                  ",,,"
      SEVEN WONDERS PACKER LOW M Laufschuhe
    "
